City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Kokopo,PG,-4.352,152.2633,303.35,63,22,7.45,few clouds
220,Itapetininga,BR,-23.5917,-48.0531,288.37,66,54,0.83,broken clouds
221,Kabo,CF,7.6994,18.629,294.06,98,97,0.89,overcast clouds
222,Torbay,CA,47.6666,-52.7314,292.91,85,5,4.02,clear sky
223,Cayenne,GF,4.9333,-52.3333,300.98,1,20,0.0,few clouds
224,Uribia,CO,11.7139,-72.266,299.01,77,0,3.55,clear sky
225,Farafangana,MG,-22.8167,47.8333,291.9,87,10,1.79,clear sky
226,Lokosovo,RU,61.1333,74.8167,283.16,97,100,6.16,moderate rain
227,Vardo,NO,70.3705,31.1107,284.14,82,75,7.72,broken clouds
228,Locri,IT,38.2414,16.2623,298.94,71,0,5.09,clear sky
229,Alice Town,BS,25.7167,-79.3,301.98,71,2,6.26,clear sky
230,Noumea,NC,-22.2763,166.4572,297.14,88,100,4.5,overcast clouds
231,Nioro,GM,13.35,-15.75,297.3,92,91,1.55,light rain
232,Ruwi,OM,23.5996,58.5507,306.41,65,23,1.44,few clouds
233,Bilibino,RU,68.0546,166.4372,291.07,32,91,3.76,overcast clouds
234,Kyaukse,MM,21.6,96.1333,304.15,70,75,2.57,broken clouds
235,Axim,GH,4.8699,-2.2405,296.59,84,49,2.93,scattered clouds
236,Dryden,CA,49.7833,-92.7503,289.31,94,100,3.6,overcast clouds
237,Aklavik,CA,68.2191,-135.0107,280.04,82,100,4.87,overcast clouds
238,Stonehouse,GB,51.75,-2.2833,292.16,88,95,5.99,overcast clouds
239,Muscat,OM,23.6139,58.5922,305.92,68,24,1.56,few clouds
240,Marzuq,YE,14.4,46.4667,299.31,57,83,0.77,broken clouds
241,Gambo,CF,4.6482,22.2633,292.9,96,100,0.54,overcast clouds
242,Lebedyn,UA,50.5852,34.4849,293.63,76,0,2.87,clear sky
243,Ohara,JP,35.25,140.3833,300.81,74,99,6.57,overcast clouds
244,Arawa,PG,-6.2132,155.5367,302.48,73,26,2.25,light rain
245,Mizdah,LY,31.4451,12.9801,293.6,60,0,2.69,clear sky
246,Sassandra,CI,4.95,-6.0833,296.53,81,99,2.52,overcast clouds
247,Ambon,ID,-3.6954,128.1814,299.33,71,69,4.65,broken clouds
248,Bogorodskoye,RU,56.55,37.8833,294.44,65,3,2.49,clear sky
249,Seevetal,DE,53.4,9.9667,286.91,90,22,1.54,few clouds
250,Sahuaripa,MX,29.05,-109.2333,297.08,83,100,1.56,overcast clouds
251,Pombal,BR,-6.7703,-37.8017,295.36,75,20,1.39,few clouds
252,Verkhoyansk,RU,67.5447,133.385,290.56,80,100,1.57,overcast clouds
253,San Pedro,PH,14.35,121.0167,305.41,58,90,1.41,overcast clouds
254,Vilhena,BR,-12.7406,-60.1458,292.99,51,0,1.65,clear sky
255,Maceio,BR,-9.6658,-35.7353,297.84,83,75,2.57,broken clouds
256,Padang,ID,-0.9492,100.3543,303.04,70,61,2.64,light rain
257,Atar,MR,20.5169,-13.0499,301.53,59,100,2.08,overcast clouds
258,Harrison,US,30.4091,-89.0436,300.59,77,1,2.91,clear sky
259,Guarapari,BR,-20.6667,-40.4975,293.09,91,6,2.74,clear sky
260,Bathsheba,BB,13.2167,-59.5167,300.49,85,20,7.2,few clouds
261,Sitka,US,57.0531,-135.33,286.09,88,100,2.06,moderate rain
262,Mutare,ZW,-18.9707,32.6709,284.9,76,1,0.98,clear sky
263,Mastic Beach,US,40.7668,-72.8521,299.26,91,34,3.13,scattered clouds
264,Rawson,AR,-43.3002,-65.1023,278.1,89,100,4.7,overcast clouds
265,Copiapo,CL,-27.3667,-70.3333,282.98,83,0,1.04,clear sky
266,Konya,TR,38.1667,32.5,290.86,55,0,2.01,clear sky
267,Halifax,CA,44.6453,-63.5724,292.98,92,4,3.04,clear sky
268,Biak,ID,-0.9131,122.8766,300.19,73,56,3.16,broken clouds
269,Bure,ET,10.7,37.0667,287.69,97,98,0.58,light rain
270,Necochea,AR,-38.5473,-58.7368,283.4,91,100,3.08,overcast clouds
271,Lucea,JM,18.451,-78.1736,300.07,80,99,3.09,overcast clouds
272,Bredasdorp,ZA,-34.5322,20.0403,283.08,74,56,0.63,broken clouds
273,Calama,CL,-22.4667,-68.9333,277.42,38,0,7.2,clear sky
274,Pangnirtung,CA,66.1451,-65.7125,282.82,76,53,0.18,broken clouds
275,Matinha,BR,-3.1006,-45.0336,295.67,90,50,1.64,scattered clouds
276,Ribeira Grande,PT,38.5167,-28.7,296.1,89,14,2.74,few clouds
277,Hobyo,SO,5.3505,48.5268,298.92,71,66,11.04,broken clouds
278,Srednekolymsk,RU,67.45,153.6833,296.45,25,5,5.26,clear sky
279,Lagos,NG,6.5833,3.75,296.34,93,100,1.17,light rain
280,Roebourne,AU,-20.7833,117.1333,297.91,23,0,2.8,clear sky
281,Neftcala,AZ,39.3742,49.2472,298.62,61,70,6.21,broken clouds
282,Marquette,US,46.5333,-87.6335,288.69,95,90,1.45,overcast clouds
283,Buala,SB,-8.145,159.5921,302.99,64,20,2.67,few clouds
284,Sumbe,AO,-11.2061,13.8437,293.67,90,98,0.68,overcast clouds
285,Fremont,US,37.5483,-121.9886,293.04,80,0,3.09,clear sky
286,Parana,AR,-31.732,-60.5238,292.9,93,1,2.49,clear sky
287,Chapais,CA,49.7834,-74.8492,287.17,91,58,2.39,broken clouds
288,Caibarien,CU,22.5206,-79.4669,298.77,82,37,5.95,scattered clouds
289,Mitsamiouli,KM,-11.3847,43.2844,297.19,70,14,2.1,few clouds
290,Bethel,US,41.3712,-73.414,298.5,81,0,1.54,clear sky
291,Oriximina,BR,-1.7656,-55.8661,296.94,76,44,1.77,scattered clouds
292,Lata,PT,40.1629,-8.3327,287.22,78,0,0.42,clear sky
293,Klaksvik,FO,62.2266,-6.589,283.46,90,99,10.75,overcast clouds
294,Harper,LR,4.375,-7.7169,297.02,74,96,2.41,overcast clouds
295,Gwadar,PK,25.1216,62.3254,301.45,81,100,4.22,overcast clouds
296,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,292.26,63,9,1.53,clear sky
297,Greenville,US,35.6127,-77.3663,299.17,95,0,2.06,clear sky
298,Grindavik,IS,63.8424,-22.4338,283.41,87,75,3.09,broken clouds
299,Belmonte,BR,-15.8631,-38.8828,294.54,81,88,3.2,overcast clouds
300,Motema,SL,8.6,-11.0333,293.78,99,99,0.73,light rain
301,Juodupe,LT,56.0833,25.6167,288.54,97,100,2.11,overcast clouds
302,San Carlos De Bariloche,AR,-41.1456,-71.3082,274.95,75,67,1.35,broken clouds
303,Alice Springs,AU,-23.7,133.8833,300.9,12,0,4.12,clear sky
304,Bosaso,SO,11.2842,49.1816,306.45,36,55,11.63,broken clouds
305,Itoman,JP,26.1247,127.6694,306.36,74,20,3.6,few clouds
306,Ambilobe,MG,-13.2,49.05,295.88,55,14,1.68,few clouds
307,Aljezur,PT,37.3191,-8.8033,294.89,44,25,3.37,scattered clouds
308,Kirgiz-Miyaki,RU,53.6324,54.7979,295.88,66,59,4.21,broken clouds
309,Moerai,PF,-22.4333,-151.3333,295.24,77,86,7.86,overcast clouds
310,Aras,ES,42.5617,-2.356,288.38,77,0,0.51,clear sky
311,Inverell,AU,-29.7833,151.1167,292.1,41,4,2.68,clear sky
312,Hakodate,JP,41.7758,140.7367,296.32,78,75,5.14,moderate rain
313,Novyy Urgal,RU,51.0736,132.5642,299.76,47,0,0.96,clear sky
314,Shingu,JP,33.7333,135.9833,302.05,67,86,2.74,overcast clouds
315,Akhtubinsk,RU,48.2795,46.1722,293.22,72,100,2.29,overcast clouds
316,Moyobamba,PE,-6.05,-76.9667,292.08,94,47,0.25,scattered clouds
317,Constitucion,CL,-35.3333,-72.4167,285.01,90,100,1.1,overcast clouds
318,Moron,AR,-34.6534,-58.6198,287.26,99,58,2.1,broken clouds
319,Zhaotong,CN,27.3167,103.7167,297.68,60,38,2.69,scattered clouds
320,Kidal,ML,18.4411,1.4078,297.31,62,98,11.93,light rain
321,Dharchula,IN,29.85,80.5333,301.21,69,95,2.39,overcast clouds
322,Tutoia,BR,-2.7619,-42.2744,298.29,89,54,4.78,broken clouds
